时间,通道,频率 (Hz),温度 (C),状态
2026-06-22 17:53:51,3,2891.90,27.5,OK
2026-06-22 17:54:03,4,891.60,27.5,OK
2026-06-22 17:54:13,5,2911.00,27.0,OK
2026-06-22 17:54:22,6,2733.30,27.0,OK
2026-06-22 17:54:26,7,,,Timeout/Error
2026-06-22 17:54:28,8,,,Timeout/Error
2026-06-22 17:54:40,1,2884.90,27.9,OK
2026-06-22 17:54:50,2,2847.80,27.4,OK
2026-06-22 17:54:59,3,2891.90,27.5,OK
2026-06-22 17:55:11,4,891.30,27.5,OK
2026-06-22 17:55:20,5,2910.90,27.0,OK
2026-06-22 17:55:30,6,2733.30,27.0,OK
2026-06-22 17:55:34,7,,,Timeout/Error
2026-06-22 17:55:36,8,,,Timeout/Error
2026-06-22 17:55:48,1,2885.00,27.9,OK
2026-06-22 17:55:58,2,2847.70,27.5,OK
2026-06-22 17:56:08,3,2891.70,27.5,OK
2026-06-22 17:56:19,4,891.30,27.5,OK
2026-06-22 17:56:29,5,2911.00,27.0,OK
2026-06-22 17:56:39,6,2733.30,27.0,OK
2026-06-22 17:56:42,7,,,Timeout/Error
2026-06-22 17:56:45,8,,,Timeout/Error
2026-06-22 17:56:57,1,2885.10,27.9,OK
2026-06-22 17:57:07,2,2847.70,27.5,OK
2026-06-22 17:57:16,3,2891.90,27.5,OK
2026-06-22 17:57:28,4,891.40,27.5,OK
2026-06-22 17:57:37,5,2910.90,27.1,OK
2026-06-22 17:57:46,6,2733.20,27.1,OK
2026-06-22 17:57:49,7,,,Timeout/Error
2026-06-22 17:57:51,8,,,Timeout/Error
2026-06-22 17:58:03,1,2884.80,27.9,OK
2026-06-22 17:58:13,2,2847.70,27.5,OK
2026-06-22 17:58:23,3,2891.90,27.5,OK
2026-06-22 17:58:35,4,891.40,27.5,OK
2026-06-22 17:58:44,5,2911.00,27.0,OK
2026-06-22 17:58:53,6,2733.30,27.0,OK
2026-06-22 17:58:56,7,,,Timeout/Error
2026-06-22 17:58:58,8,,,Timeout/Error
2026-06-22 17:59:10,1,2885.00,27.9,OK
2026-06-22 17:59:19,2,2847.70,27.5,OK
2026-06-22 17:59:28,3,2891.70,27.5,OK
2026-06-22 17:59:40,4,891.40,27.5,OK
2026-06-22 17:59:49,5,2911.00,27.0,OK
2026-06-22 17:59:59,6,2733.30,27.0,OK
2026-06-22 18:00:03,7,,,Timeout/Error
2026-06-22 18:00:05,8,,,Timeout/Error
2026-06-22 18:00:17,1,2884.80,28.0,OK
2026-06-22 18:00:26,2,2847.70,27.5,OK
2026-06-22 18:00:36,3,2891.90,27.5,OK
2026-06-22 18:00:47,4,891.40,27.5,OK
2026-06-22 18:00:57,5,2911.00,27.0,OK
2026-06-22 18:01:07,6,2733.30,27.0,OK
2026-06-22 18:01:10,7,,,Timeout/Error
2026-06-22 18:01:13,8,,,Timeout/Error
2026-06-22 18:01:25,1,2885.10,27.9,OK
2026-06-22 18:01:34,2,2847.70,27.5,OK
2026-06-22 18:01:43,3,2891.70,27.5,OK
2026-06-22 18:01:55,4,891.50,27.5,OK
2026-06-22 18:02:04,5,2911.00,27.1,OK
2026-06-22 18:02:14,6,2733.30,27.1,OK
2026-06-22 18:02:18,7,,,Timeout/Error
2026-06-22 18:02:20,8,,,Timeout/Error
2026-06-22 18:02:32,1,2884.80,27.9,OK
2026-06-22 18:02:41,2,2847.70,27.5,OK
2026-06-22 18:02:51,3,2891.90,27.5,OK
2026-06-22 18:03:02,4,891.40,27.5,OK
2026-06-22 18:03:11,5,2910.60,27.0,OK
2026-06-22 18:03:21,6,2733.20,27.0,OK
2026-06-22 18:03:24,7,,,Timeout/Error
2026-06-22 18:03:27,8,,,Timeout/Error
2026-06-22 18:03:39,1,2884.80,27.9,OK
2026-06-22 18:03:48,2,2847.70,27.5,OK
2026-06-22 18:03:58,3,2891.70,27.5,OK
2026-06-22 18:04:09,4,891.40,27.5,OK
2026-06-22 18:04:19,5,2910.90,27.0,OK
2026-06-22 18:04:28,6,2733.20,27.0,OK
2026-06-22 18:04:32,7,,,Timeout/Error
2026-06-22 18:04:34,8,,,Timeout/Error
2026-06-22 18:04:46,1,2884.90,28.0,OK
2026-06-22 18:04:56,2,2847.70,27.5,OK
2026-06-22 18:05:06,3,2891.90,27.5,OK
2026-06-22 18:05:17,4,891.40,27.5,OK
2026-06-22 18:05:27,5,2911.00,27.1,OK
2026-06-22 18:05:36,6,2733.30,27.1,OK
2026-06-22 18:05:39,7,,,Timeout/Error
2026-06-22 18:05:41,8,,,Timeout/Error
2026-06-22 18:05:53,1,2885.10,28.0,OK
2026-06-22 18:06:03,2,2847.80,27.5,OK
2026-06-22 18:06:12,3,2891.90,27.5,OK
2026-06-22 18:06:24,4,891.40,27.5,OK
2026-06-22 18:06:34,5,2911.00,27.1,OK
2026-06-22 18:06:43,6,2733.20,27.1,OK
2026-06-22 18:06:47,7,,,Timeout/Error
2026-06-22 18:06:49,8,,,Timeout/Error
2026-06-22 18:07:01,1,2885.10,28.0,OK
2026-06-22 18:07:11,2,2847.80,27.5,OK
2026-06-22 18:07:20,3,2891.90,27.5,OK
2026-06-22 18:07:32,4,891.50,27.5,OK
2026-06-22 18:07:42,5,2910.90,27.0,OK
2026-06-22 18:07:51,6,2733.30,27.0,OK
2026-06-22 18:07:55,7,,,Timeout/Error
2026-06-22 18:07:58,8,,,Timeout/Error
2026-06-22 18:08:09,1,2884.90,28.0,OK
2026-06-22 18:08:19,2,2847.70,27.5,OK
2026-06-22 18:08:29,3,2891.70,27.5,OK
2026-06-22 18:08:41,4,891.50,27.5,OK
2026-06-22 18:08:50,5,2910.90,27.1,OK
2026-06-22 18:08:59,6,2733.30,27.1,OK
2026-06-22 18:09:02,7,,,Timeout/Error
2026-06-22 18:09:04,8,,,Timeout/Error
2026-06-22 18:09:16,1,2885.10,28.0,OK
2026-06-22 18:09:26,2,2847.70,27.6,OK
2026-06-22 18:09:35,3,2891.80,27.6,OK
2026-06-22 18:09:47,4,891.40,27.6,OK
2026-06-22 18:09:56,5,2911.00,27.1,OK
2026-06-22 18:10:06,6,2733.20,27.1,OK
2026-06-22 18:10:09,7,,,Timeout/Error
2026-06-22 18:10:12,8,,,Timeout/Error
2026-06-22 18:10:23,1,2885.10,28.0,OK
2026-06-22 18:10:33,2,2847.70,27.5,OK
2026-06-22 18:10:42,3,2891.70,27.5,OK
2026-06-22 18:10:54,4,891.50,27.5,OK
2026-06-22 18:11:03,5,2911.00,27.1,OK
2026-06-22 18:11:12,6,2733.20,27.1,OK
2026-06-22 18:11:15,7,,,Timeout/Error
2026-06-22 18:11:17,8,,,Timeout/Error
2026-06-22 18:11:27,1,2884.90,28.0,OK
2026-06-22 18:11:37,2,2847.70,27.5,OK
2026-06-22 18:11:46,3,2891.70,27.5,OK
2026-06-22 18:11:58,4,891.40,27.5,OK
2026-06-22 18:12:07,5,2911.00,27.1,OK
2026-06-22 18:12:16,6,2733.30,27.1,OK
2026-06-22 18:12:19,7,,,Timeout/Error
2026-06-22 18:12:21,8,,,Timeout/Error
2026-06-22 18:12:33,1,2884.90,28.0,OK
2026-06-22 18:12:43,2,2847.70,27.5,OK
2026-06-22 18:12:52,3,2891.70,27.5,OK
2026-06-22 18:13:03,4,891.40,27.5,OK
2026-06-22 18:13:13,5,2911.00,27.0,OK
2026-06-22 18:13:23,6,2733.20,27.1,OK
2026-06-22 18:13:26,7,,,Timeout/Error
2026-06-22 18:13:29,8,,,Timeout/Error
2026-06-22 18:13:41,1,2885.00,28.0,OK
2026-06-22 18:13:50,2,2847.80,27.6,OK
2026-06-22 18:13:59,3,2891.60,27.6,OK
2026-06-22 18:14:11,4,891.40,27.6,OK
