时间,通道,频率 (Hz),温度 (C),状态
2026-06-22 13:54:35,8,,,Timeout/Error
2026-06-22 13:54:48,1,2884.20,27.7,OK
2026-06-22 13:54:50,2,2846.80,27.0,OK
2026-06-22 13:54:53,3,2892.20,26.7,OK
2026-06-22 13:54:56,4,2684.40,26.7,OK
2026-06-22 13:54:59,5,2911.30,26.3,OK
2026-06-22 13:55:02,6,2733.30,26.3,OK
2026-06-22 13:55:27,7,,,Timeout/Error
2026-06-22 13:55:52,8,,,Timeout/Error
2026-06-22 13:56:04,1,2884.30,27.7,OK
2026-06-22 13:56:07,2,2846.70,27.0,OK
2026-06-22 13:56:10,3,2891.60,26.7,OK
2026-06-22 13:56:17,4,883.80,26.7,OK
2026-06-22 13:56:20,5,2910.70,26.3,OK
2026-06-22 13:56:24,6,2733.30,26.3,OK
2026-06-22 13:56:49,7,,,Timeout/Error
2026-06-22 13:57:14,8,,,Timeout/Error
2026-06-22 13:57:26,1,2884.50,27.8,OK
2026-06-22 13:57:29,2,2846.80,27.1,OK
2026-06-22 13:57:32,3,2892.60,26.8,OK
2026-06-22 13:57:35,4,2691.40,26.8,OK
2026-06-22 13:57:37,5,2910.40,26.3,OK
2026-06-22 13:57:42,6,2733.80,26.3,OK
2026-06-22 13:58:07,7,,,Timeout/Error
2026-06-22 13:58:33,8,,,Timeout/Error
2026-06-22 13:58:45,1,2884.20,27.8,OK
2026-06-22 13:58:48,2,2846.70,27.1,OK
2026-06-22 13:58:51,3,2892.30,26.8,OK
2026-06-22 13:58:58,4,883.80,26.8,OK
2026-06-22 13:59:01,5,2912.20,26.3,OK
2026-06-22 13:59:04,6,2733.80,26.3,OK
2026-06-22 13:59:29,7,,,Timeout/Error
2026-06-22 13:59:54,8,,,Timeout/Error
2026-06-22 14:00:05,1,2884.10,27.8,OK
2026-06-22 14:00:07,2,2846.80,27.1,OK
2026-06-22 14:00:10,3,2891.90,26.8,OK
2026-06-22 14:00:18,4,883.70,26.8,OK
2026-06-22 14:00:21,5,2910.10,26.3,OK
2026-06-22 14:00:25,6,2733.20,26.3,OK
2026-06-22 14:00:49,7,,,Timeout/Error
2026-06-22 14:01:14,8,,,Timeout/Error
2026-06-22 14:01:26,1,2884.60,27.8,OK
2026-06-22 14:01:29,2,2846.80,27.1,OK
2026-06-22 14:01:32,3,2892.70,26.8,OK
2026-06-22 14:01:39,4,884.20,26.8,OK
2026-06-22 14:01:42,5,2909.90,26.3,OK
2026-06-22 14:01:45,6,2732.50,26.3,OK
2026-06-22 14:02:10,7,,,Timeout/Error
2026-06-22 14:02:35,8,,,Timeout/Error
2026-06-22 14:02:47,1,2883.90,27.8,OK
2026-06-22 14:02:50,2,2846.80,27.1,OK
2026-06-22 14:02:53,3,2891.90,26.8,OK
2026-06-22 14:03:00,4,883.80,26.8,OK
2026-06-22 14:03:03,5,2909.90,26.4,OK
2026-06-22 14:03:22,1,2883.70,27.8,OK
2026-06-22 14:03:24,2,2847.30,27.3,OK
2026-06-22 14:03:26,3,2892.20,27.0,OK
2026-06-22 14:03:36,4,883.80,27.0,OK
2026-06-22 14:03:40,5,2910.20,26.3,OK
2026-06-22 14:03:43,6,2733.50,26.3,OK
2026-06-22 14:03:59,7,,,Timeout/Error
2026-06-22 14:04:17,8,,,Timeout/Error
2026-06-22 14:04:31,1,2884.00,27.8,OK
2026-06-22 14:04:34,2,2846.80,27.3,OK
2026-06-22 14:04:36,3,2893.10,27.0,OK
2026-06-22 14:04:46,4,883.80,27.0,OK
2026-06-22 14:04:48,5,2909.90,26.6,OK
2026-06-22 14:04:52,6,2733.30,26.5,OK
2026-06-22 14:05:08,7,,,Timeout/Error
2026-06-22 14:05:26,8,,,Timeout/Error
2026-06-22 14:05:40,1,2883.20,27.8,OK
2026-06-22 14:05:42,2,2846.70,27.3,OK
2026-06-22 14:05:44,3,2893.30,27.1,OK
2026-06-22 14:05:48,4,2683.70,27.0,OK
2026-06-22 14:05:50,5,2909.90,26.6,OK
2026-06-22 14:05:55,6,2734.40,26.5,OK
2026-06-22 14:06:11,7,,,Timeout/Error
2026-06-22 14:06:28,8,,,Timeout/Error
2026-06-22 14:06:43,1,2883.50,27.8,OK
2026-06-22 14:06:45,2,2846.60,27.3,OK
2026-06-22 14:06:47,3,2892.40,27.0,OK
2026-06-22 14:06:58,4,884.30,27.0,OK
2026-06-22 14:07:01,5,2909.80,26.4,OK
2026-06-22 14:07:04,6,2733.20,26.4,OK
2026-06-22 14:07:04,7,,,Timeout/Error
2026-06-22 14:07:05,8,,,Timeout/Error
2026-06-22 14:07:06,1,,,Timeout/Error
2026-06-22 14:07:07,2,,,Timeout/Error
2026-06-22 14:07:08,3,,,Timeout/Error
2026-06-22 14:07:08,4,,,Timeout/Error
2026-06-22 14:07:09,5,,,Timeout/Error
2026-06-22 14:07:10,6,,,Timeout/Error
2026-06-22 14:07:11,7,,,Timeout/Error
2026-06-22 14:07:11,8,,,Timeout/Error
2026-06-22 14:07:12,1,,,Timeout/Error
2026-06-22 14:07:13,2,,,Timeout/Error
2026-06-22 14:07:14,3,,,Timeout/Error
2026-06-22 14:07:15,4,,,Timeout/Error
2026-06-22 14:07:15,5,,,Timeout/Error
2026-06-22 14:07:16,6,,,Timeout/Error
2026-06-22 14:07:17,7,,,Timeout/Error
2026-06-22 14:07:18,8,,,Timeout/Error
2026-06-22 14:07:19,1,,,Timeout/Error
2026-06-22 14:07:19,2,,,Timeout/Error
2026-06-22 14:07:20,3,,,Timeout/Error
2026-06-22 14:07:21,4,,,Timeout/Error
2026-06-22 14:07:22,5,,,Timeout/Error
2026-06-22 14:07:23,6,,,Timeout/Error
2026-06-22 14:07:23,7,,,Timeout/Error
2026-06-22 14:07:24,8,,,Timeout/Error
2026-06-22 14:07:25,1,,,Timeout/Error
2026-06-22 14:07:26,2,,,Timeout/Error
2026-06-22 14:07:26,3,,,Timeout/Error
2026-06-22 14:07:27,4,,,Timeout/Error
2026-06-22 14:07:28,5,,,Timeout/Error
2026-06-22 14:07:29,6,,,Timeout/Error
2026-06-22 14:07:30,7,,,Timeout/Error
2026-06-22 14:07:30,8,,,Timeout/Error
2026-06-22 14:07:31,1,,,Timeout/Error
2026-06-22 14:07:32,2,,,Timeout/Error
2026-06-22 14:07:33,3,,,Timeout/Error
2026-06-22 14:07:34,4,,,Timeout/Error
2026-06-22 14:07:34,5,,,Timeout/Error
2026-06-22 14:07:35,6,,,Timeout/Error
2026-06-22 14:07:36,7,,,Timeout/Error
2026-06-22 14:07:37,8,,,Timeout/Error
2026-06-22 14:07:38,1,,,Timeout/Error
2026-06-22 14:07:38,2,,,Timeout/Error
2026-06-22 14:07:39,3,,,Timeout/Error
