时间,通道,频率 (Hz),温度 (C),状态
2026-06-22 17:26:48,2,2847.80,27.3,OK
2026-06-22 17:26:57,3,2891.90,27.3,OK
2026-06-22 17:27:08,4,891.30,27.3,OK
2026-06-22 17:27:18,5,2910.90,26.8,OK
2026-06-22 17:27:27,6,2733.20,26.8,OK
2026-06-22 17:27:31,7,,,Timeout/Error
2026-06-22 17:27:34,8,,,Timeout/Error
2026-06-22 17:27:45,1,2884.80,27.7,OK
2026-06-22 17:27:55,2,2847.70,27.3,OK
2026-06-22 17:28:04,3,2891.70,27.3,OK
2026-06-22 17:28:16,4,891.30,27.3,OK
2026-06-22 17:28:26,5,2910.90,26.8,OK
2026-06-22 17:28:35,6,2733.30,26.8,OK
2026-06-22 17:28:39,7,,,Timeout/Error
2026-06-22 17:28:41,8,,,Timeout/Error
2026-06-22 17:28:53,1,2885.10,27.7,OK
2026-06-22 17:29:03,2,2847.60,27.3,OK
2026-06-22 17:29:12,3,2891.80,27.3,OK
2026-06-22 17:29:23,4,891.20,27.3,OK
2026-06-22 17:29:33,5,2911.00,26.8,OK
2026-06-22 17:29:42,6,2733.20,26.8,OK
2026-06-22 17:29:46,7,,,Timeout/Error
2026-06-22 17:29:49,8,,,Timeout/Error
2026-06-22 17:30:01,1,2885.00,27.6,OK
