时间,通道,频率 (Hz),温度 (C),状态
2026-06-18 16:21:37,2,2847.00,26.0,OK
2026-06-18 16:21:48,3,2892.60,26.0,OK
2026-06-18 16:21:58,4,880.00,26.3,OK
2026-06-18 16:22:09,5,2910.90,25.2,OK
2026-06-18 16:22:19,6,2733.40,25.5,OK
2026-06-18 16:22:29,7,,,Timeout/Error
2026-06-18 16:22:39,8,,,Timeout/Error
2026-06-18 16:22:50,1,,,Timeout/Error
2026-06-18 16:23:01,2,2847.20,26.0,OK
2026-06-18 16:23:11,3,2892.70,26.0,OK
2026-06-18 16:23:21,4,879.80,26.3,OK
2026-06-18 16:23:31,5,2911.10,25.3,OK
2026-06-18 16:23:41,6,2733.30,25.5,OK
2026-06-18 16:23:52,7,,,Timeout/Error
2026-06-18 16:24:02,8,,,Timeout/Error
2026-06-18 16:24:12,1,2885.50,26.2,OK
2026-06-18 16:24:22,2,2847.00,26.0,OK
2026-06-18 16:24:33,3,2892.60,25.9,OK
2026-06-18 16:24:43,4,879.80,26.3,OK
2026-06-18 16:24:53,5,2910.90,25.2,OK
2026-06-18 16:25:04,6,2733.30,25.5,OK
2026-06-18 16:25:14,7,,,Timeout/Error
2026-06-18 16:25:24,8,,,Timeout/Error
2026-06-18 16:25:34,1,2885.80,26.3,OK
2026-06-18 16:25:44,2,2847.00,26.0,OK
2026-06-18 16:25:55,3,2892.70,26.0,OK
2026-06-18 16:26:05,4,879.80,26.3,OK
2026-06-18 16:26:16,5,2910.90,25.3,OK
2026-06-18 16:26:26,6,2733.30,25.6,OK
2026-06-18 16:26:36,7,,,Timeout/Error
2026-06-18 16:26:46,8,,,Timeout/Error
2026-06-18 16:26:57,1,2885.60,26.2,OK
2026-06-18 16:27:07,2,2847.00,26.0,OK
2026-06-18 16:27:17,3,2892.50,26.0,OK
2026-06-18 16:27:28,4,879.80,26.3,OK
2026-06-18 16:27:38,5,2911.30,25.3,OK
2026-06-18 16:27:48,6,2733.40,25.6,OK
2026-06-18 16:27:58,7,,,Timeout/Error
2026-06-18 16:28:09,8,,,Timeout/Error
2026-06-18 16:28:19,1,2885.60,26.3,OK
2026-06-18 16:28:29,2,2847.00,26.1,OK
2026-06-18 16:28:39,3,2892.60,26.1,OK
2026-06-18 16:28:50,4,879.80,26.3,OK
2026-06-18 16:29:00,5,2910.80,25.3,OK
2026-06-18 16:29:10,6,2733.40,25.6,OK
2026-06-18 16:29:21,7,,,Timeout/Error
2026-06-18 16:29:31,8,,,Timeout/Error
2026-06-18 16:29:41,1,2885.60,26.4,OK
2026-06-18 16:29:51,2,2847.10,26.1,OK
2026-06-18 16:30:02,3,2892.60,26.0,OK
2026-06-18 16:30:12,4,879.80,26.3,OK
2026-06-18 16:30:22,5,2911.20,25.4,OK
2026-06-18 16:30:33,6,2733.50,25.6,OK
2026-06-18 16:30:43,7,,,Timeout/Error
2026-06-18 16:30:53,8,,,Timeout/Error
2026-06-18 16:31:03,1,2885.70,26.4,OK
2026-06-18 16:31:13,2,2847.00,26.0,OK
2026-06-18 16:31:24,3,2892.70,26.0,OK
2026-06-18 16:31:34,4,879.80,26.3,OK
2026-06-18 16:31:45,5,2910.80,25.4,OK
2026-06-18 16:31:55,6,2733.50,25.6,OK
2026-06-18 16:32:05,7,,,Timeout/Error
2026-06-18 16:32:15,8,,,Timeout/Error
2026-06-18 16:32:25,1,2885.80,26.4,OK
2026-06-18 16:32:36,2,2847.00,26.1,OK
2026-06-18 16:32:46,3,2892.60,26.1,OK
2026-06-18 16:32:57,4,879.80,26.3,OK
2026-06-18 16:33:07,5,2910.90,25.4,OK
2026-06-18 16:33:17,6,2733.40,25.7,OK
2026-06-18 16:33:27,7,,,Timeout/Error
2026-06-18 16:33:37,8,,,Timeout/Error
2026-06-18 16:33:48,1,2885.90,26.3,OK
2026-06-18 16:33:58,2,2847.10,26.1,OK
2026-06-18 16:34:08,3,2892.70,26.1,OK
2026-06-18 16:34:18,4,879.90,26.3,OK
2026-06-18 16:34:28,5,2910.80,25.4,OK
2026-06-18 16:34:39,6,2733.40,25.7,OK
2026-06-18 16:34:49,7,,,Timeout/Error
2026-06-18 16:34:59,8,,,Timeout/Error
2026-06-18 16:35:10,1,2885.50,26.4,OK
2026-06-18 16:35:20,2,2847.10,26.1,OK
2026-06-18 16:35:30,3,2892.70,26.1,OK
2026-06-18 16:35:41,4,879.90,26.3,OK
2026-06-18 16:35:51,5,2911.10,25.4,OK
2026-06-18 16:36:01,6,2733.40,25.7,OK
2026-06-18 16:36:11,7,,,Timeout/Error
2026-06-18 16:36:22,8,,,Timeout/Error
2026-06-18 16:36:32,1,2885.60,26.5,OK
2026-06-18 16:36:42,2,2847.00,26.1,OK
2026-06-18 16:36:52,3,2892.50,26.1,OK
2026-06-18 16:37:03,4,879.90,26.3,OK
2026-06-18 16:37:13,5,2910.70,25.5,OK
2026-06-18 16:37:23,6,2733.40,25.7,OK
2026-06-18 16:37:34,7,,,Timeout/Error
2026-06-18 16:37:44,8,,,Timeout/Error
2026-06-18 16:37:54,1,2885.60,26.5,OK
2026-06-18 16:38:04,2,2847.10,26.2,OK
2026-06-18 16:38:15,3,2892.50,26.2,OK
2026-06-18 16:38:25,4,879.90,26.3,OK
2026-06-18 16:38:35,5,2910.80,25.5,OK
2026-06-18 16:38:45,6,2733.30,25.7,OK
2026-06-18 16:38:56,7,,,Timeout/Error
2026-06-18 16:39:06,8,,,Timeout/Error
2026-06-18 16:39:16,1,2885.70,26.5,OK
2026-06-18 16:39:26,2,2847.10,26.1,OK
2026-06-18 16:39:37,3,2892.70,26.1,OK
2026-06-18 16:39:47,4,880.00,26.3,OK
2026-06-18 16:39:57,5,2910.90,25.4,OK
2026-06-18 16:40:08,6,2733.30,25.7,OK
2026-06-18 16:40:18,7,,,Timeout/Error
2026-06-18 16:40:28,8,,,Timeout/Error
2026-06-18 16:40:38,1,2885.70,26.5,OK
2026-06-18 16:40:49,2,2847.10,26.2,OK
2026-06-18 16:40:59,3,2892.60,26.2,OK
2026-06-18 16:41:09,4,879.90,26.4,OK
2026-06-18 16:41:20,5,2910.90,25.5,OK
2026-06-18 16:41:30,6,2733.30,25.7,OK
2026-06-18 16:41:40,7,,,Timeout/Error
2026-06-18 16:41:50,8,,,Timeout/Error
2026-06-18 16:42:00,1,2885.60,26.5,OK
2026-06-18 16:42:11,2,2847.10,26.2,OK
2026-06-18 16:42:21,3,2892.70,26.2,OK
2026-06-18 16:42:31,4,879.90,26.3,OK
2026-06-18 16:42:42,5,2910.60,25.5,OK
2026-06-18 16:42:52,6,2733.30,25.7,OK
2026-06-18 16:43:02,7,,,Timeout/Error
2026-06-18 16:43:12,8,,,Timeout/Error
2026-06-18 16:43:23,1,2885.50,26.6,OK
2026-06-18 16:43:33,2,2847.10,26.2,OK
2026-06-18 16:43:43,3,2892.70,26.2,OK
2026-06-18 16:43:54,4,880.00,26.3,OK
