时间,通道,频率 (Hz),温度 (C),状态
2026-06-18 16:14:36,1,2885.50,26.0,OK
2026-06-18 16:14:46,2,2847.00,25.9,OK
2026-06-18 16:14:57,3,2892.70,25.8,OK
2026-06-18 16:15:07,4,880.00,26.5,OK
2026-06-18 16:15:18,5,2910.90,25.1,OK
2026-06-18 16:15:28,6,2733.30,25.4,OK
2026-06-18 16:15:38,7,,,Timeout/Error
2026-06-18 16:15:48,8,,,Timeout/Error
2026-06-18 16:15:58,1,2885.60,26.1,OK
2026-06-18 16:16:09,2,2847.00,26.0,OK
2026-06-18 16:16:19,3,2892.60,25.9,OK
2026-06-18 16:16:29,4,879.90,26.4,OK
2026-06-18 16:16:40,5,2911.20,25.2,OK
2026-06-18 16:16:50,6,2733.30,25.4,OK
2026-06-18 16:17:00,7,,,Timeout/Error
2026-06-18 16:17:10,8,,,Timeout/Error
2026-06-18 16:17:20,1,2885.70,26.1,OK
2026-06-18 16:17:31,2,2847.00,25.9,OK
2026-06-18 16:17:41,3,2892.70,25.9,OK
2026-06-18 16:17:52,4,880.00,26.4,OK
2026-06-18 16:18:02,5,2910.80,25.1,OK
2026-06-18 16:18:12,6,2733.40,25.5,OK
2026-06-18 16:18:22,7,,,Timeout/Error
2026-06-18 16:18:33,8,,,Timeout/Error
2026-06-18 16:18:43,1,2885.80,26.1,OK
2026-06-18 16:18:53,2,2847.00,26.0,OK
2026-06-18 16:19:03,3,2892.70,25.9,OK
2026-06-18 16:19:14,4,879.90,26.4,OK
2026-06-18 16:19:24,5,2911.10,25.2,OK
2026-06-18 16:19:34,6,2733.30,25.4,OK
2026-06-18 16:19:44,7,,,Timeout/Error
2026-06-18 16:19:55,8,,,Timeout/Error
2026-06-18 16:20:05,1,2885.70,26.1,OK
2026-06-18 16:20:15,2,2847.00,26.0,OK
2026-06-18 16:20:26,3,2892.60,25.9,OK
2026-06-18 16:20:36,4,879.90,26.4,OK
2026-06-18 16:20:46,5,2911.00,25.2,OK
2026-06-18 16:20:57,6,2733.20,25.5,OK
2026-06-18 16:21:07,7,,,Timeout/Error
